volume,volume_calc
14.0,14.0
402.0,402.0
84.0,84.0
192.0,180.0
197.0,197.0
38.0,38.0
22.0,22.0
396.0,394.0
88.0,88.0
33.0,33.0
1036.0,1036.0
263.0,263.0
40.0,40.0
428.0,428.0
438.0,438.0
272.0,272.0
350.0,350.0
532.0,532.0
244.0,244.0
3.0,3.0
624.0,624.0
54.0,54.0
36.0,36.0
248.0,248.0
136.0,130.0
252.0,252.0
134.0,134.0
369.0,369.0
542.0,540.0
458.0,458.0
236.0,236.0
134.0,134.0
22.0,22.0
198.0,198.0
4.0,4.0
144.0,144.0
85.0,85.0
231.0,231.0
151.0,151.0
216.0,216.0
104.0,104.0
750.0,750.0
23.0,23.0
188.0,188.0
236.0,235.0
108.0,104.0
90.0,90.0
66.0,66.0
4.0,4.0
60.0,60.0
309.0,309.0
60.0,60.0
421.0,421.0
238.0,236.0
143.0,143.0
22.0,22.0
227.0,227.0
202.0,202.0
664.0,664.0
4.0,4.0
62.0,61.0
48.0,48.0
44.0,44.0
42.0,42.0
66.0,66.0
78.0,78.0
226.0,226.0
1107.0,1107.0
402.0,402.0
132.0,126.0
308.0,306.0
6.0,6.0
477.0,477.0
65.0,65.0
176.0,176.0
542.0,540.0
68.0,68.0
161.0,161.0
296.0,296.0
469.0,469.0
145.0,145.0
54.0,54.0
280.0,280.0
52.0,50.0
198.0,198.0
56.0,56.0
298.0,298.0
20.0,20.0
116.0,116.0
116.0,116.0
8.0,8.0
26.0,26.0
51.0,51.0
62.0,62.0
374.0,374.0
266.0,266.0
142.0,142.0
382.0,382.0
276.0,276.0
396.0,396.0
346.0,341.0
122.0,122.0
122.0,118.0
3.0,3.0
276.0,276.0
296.0,296.0
48.0,44.0
80.0,80.0
9.0,9.0
110.0,110.0
100.0,98.0
440.0,428.0
110.0,108.0
50.0,50.0
68.0,68.0
420.0,420.0
312.0,312.0
386.0,382.0
70.0,70.0
315.0,315.0
336.0,336.0
54.0,54.0
204.0,204.0
582.0,582.0
102.0,102.0
410.0,410.0
665.0,665.0
32.0,32.0
240.0,240.0
326.0,324.0
168.0,168.0
104.0,100.0
150.0,144.0
95.0,93.0
78.0,78.0
382.0,381.0
91.0,91.0
0.0,0.0
108.0,106.0
666.0,654.0
448.0,446.0
6.0,6.0
2632.0,2604.0
8.0,8.0
79.0,79.0
237.0,237.0
281.0,281.0
290.0,288.0
310.0,310.0
371.0,371.0
336.0,332.0
572.0,572.0
180.0,180.0
68.0,68.0
1.0,1.0
17.0,17.0
8.0,6.0
46.0,46.0
174.0,174.0
50.0,50.0
52.0,52.0
110.0,110.0
253.0,253.0
3954.0,54.0
660.0,660.0
28.0,28.0
126.0,124.0
736.0,732.0
44.0,44.0
110.0,110.0
85.0,80.0
257.0,257.0
116.0,116.0
1419.0,1419.0
217.0,217.0
201.0,200.0
106.0,106.0
92.0,82.0
148.0,148.0
52.0,50.0
1106.0,1106.0
224.0,224.0
774.0,66.0
566.0,566.0
469.0,469.0
250.0,248.0
596.0,596.0
196.0,38.0
86.0,86.0
58.0,58.0
147.0,147.0
14.0,14.0
766.0,78.0
73.0,73.0
39.0,39.0
8.0,8.0
116.0,116.0
28.0,26.0
16.0,16.0
42.0,42.0
456.0,456.0
296.0,296.0
115.0,114.0
12.0,12.0
258.0,258.0
377.0,377.0
118.0,116.0
216.0,216.0
32.0,32.0
122.0,122.0
468.0,468.0
20.0,20.0
74.0,74.0
172.0,172.0
156.0,156.0
26.0,26.0
186.0,186.0
184.0,180.0
144.0,144.0
478.0,478.0
220.0,216.0
284.0,284.0
248.0,248.0
0.0,0.0
580.0,580.0
44.0,44.0
351.0,351.0
622.0,622.0
326.0,326.0
39.0,39.0
300.0,300.0
219.0,218.0
795.0,795.0
30.0,20.0
174.0,174.0
54.0,54.0
94.0,94.0
56.0,56.0
220.0,220.0
334.0,322.0
946.0,946.0
58.0,58.0
427.0,421.0
295.0,295.0
14.0,14.0
28.0,28.0
170.0,168.0
351.0,351.0
246.0,246.0
14.0,14.0
274.0,274.0
260.0,260.0
721.0,721.0
16.0,16.0
210.0,210.0
509.0,509.0
49.0,49.0
190.0,190.0
228.0,228.0
130.0,130.0
496.0,482.0
548.0,548.0
737.0,737.0
12.0,12.0
174.0,112.0
287.0,287.0
50.0,48.0
43.0,19.0
66.0,65.0
72.0,72.0
264.0,264.0
808.0,808.0
100.0,100.0
184.0,184.0
723.0,723.0
162.0,162.0
758.0,740.0
221.0,220.0
124.0,108.0
366.0,366.0
70.0,70.0
614.0,612.0
780.0,780.0
0.0,0.0
762.0,762.0
12.0,12.0
1444.0,1444.0
564.0,126.0
357.0,357.0
112.0,112.0
180.0,178.0
251.0,251.0
0.0,0.0
54.0,54.0
682.0,682.0
293.0,293.0
8.0,8.0
312.0,312.0
57.0,57.0
120.0,120.0
152.0,150.0
238.0,238.0
431.0,431.0
542.0,542.0
163.0,163.0
3.0,3.0
108.0,104.0
846.0,846.0
62.0,62.0
8.0,8.0
65.0,65.0
28.0,28.0
374.0,374.0
337.0,337.0
180.0,180.0
13.0,13.0
100.0,100.0
10.0,10.0
26.0,26.0
206.0,204.0
69.0,69.0
486.0,482.0
270.0,270.0
375.0,375.0
44.0,44.0
71.0,71.0
76.0,74.0
186.0,186.0
320.0,316.0
0.0,0.0
3023.0,2979.0
96.0,96.0
521.0,521.0
80.0,80.0
106.0,102.0
370.0,370.0
612.0,608.0
176.0,176.0
614.0,614.0
348.0,348.0
426.0,426.0
372.0,372.0
446.0,446.0
133.0,133.0
504.0,502.0
164.0,164.0
108.0,108.0
126.0,126.0
143.0,143.0
31.0,31.0
90.0,90.0
315.0,315.0
54.0,54.0
132.0,132.0
244.0,244.0
130.0,128.0
223.0,209.0
126.0,126.0
98.0,98.0
168.0,168.0
270.0,270.0
39.0,39.0
118.0,88.0
24.0,24.0
282.0,280.0
403.0,403.0
482.0,482.0
94.0,88.0
82.0,82.0
14.0,14.0
154.0,154.0
0.0,0.0
80.0,80.0
154.0,154.0
246.0,246.0
254.0,254.0
321.0,321.0
469.0,469.0
144.0,144.0
31.0,31.0
293.0,293.0
86.0,83.0
65.0,65.0
54.0,54.0
12.0,12.0
100.0,100.0
99.0,99.0
32.0,32.0
30.0,30.0
492.0,484.0
44.0,44.0
234.0,234.0
169.0,169.0
290.0,290.0
246.0,246.0
705.0,705.0
313.0,313.0
214.0,214.0
277.0,277.0
88.0,88.0
7.0,6.0
609.0,609.0
88.0,88.0
898.0,892.0
90.0,90.0
173.0,172.0
414.0,414.0
268.0,268.0
220.0,217.0
112.0,112.0
464.0,464.0
5.0,5.0
606.0,602.0
132.0,132.0
68.0,68.0
22.0,22.0
283.0,281.0
158.0,158.0
60.0,60.0
51.0,51.0
9.0,9.0
334.0,334.0
260.0,260.0
88.0,88.0
148.0,148.0
116.0,116.0
166.0,166.0
340.0,340.0
222.0,220.0
363.0,363.0
68.0,68.0
40.0,40.0
74.0,74.0
254.0,254.0
318.0,318.0
104.0,104.0
124.0,124.0
64.0,64.0
461.0,461.0
192.0,192.0
355.0,351.0
36.0,34.0
468.0,466.0
909.0,909.0
50.0,46.0
56.0,55.0
190.0,190.0
36.0,36.0
128.0,128.0
646.0,646.0
43.0,43.0
51.0,51.0
114.0,110.0
208.0,208.0
132.0,128.0
68.0,22.0
792.0,770.0
88.0,88.0
134.0,134.0
204.0,204.0
60.0,60.0
91.0,91.0
30.0,30.0
48.0,48.0
123.0,123.0
7.0,7.0
159.0,159.0
218.0,142.0
94.0,92.0
144.0,144.0
500.0,500.0
172.0,172.0
256.0,256.0
169.0,169.0
266.0,264.0
364.0,356.0
92.0,92.0
122.0,122.0
0.0,0.0
364.0,358.0
610.0,608.0
350.0,344.0
40.0,39.0
297.0,297.0
54.0,54.0
118.0,112.0
33.0,33.0
14.0,14.0
92.0,92.0
43.0,43.0
17.0,16.0
168.0,168.0
195.0,195.0
532.0,530.0
365.0,365.0
26.0,26.0
36.0,36.0
170.0,170.0
38.0,38.0
92.0,92.0
28.0,28.0
40.0,38.0
310.0,310.0
42.0,42.0
641.0,641.0
464.0,464.0
212.0,212.0
552.0,544.0
748.0,748.0
486.0,483.0
60.0,60.0
562.0,562.0
770.0,766.0
47.0,47.0
57.0,57.0
294.0,294.0
136.0,136.0
56.0,56.0
0.0,0.0
2.0,2.0
140.0,140.0
10.0,10.0
252.0,251.0
346.0,342.0
217.0,217.0
462.0,462.0
14.0,14.0
208.0,208.0
104.0,104.0
2490.0,2444.0
42.0,42.0
3.0,3.0
62.0,60.0
2.0,2.0
351.0,351.0
55.0,55.0
66.0,66.0
62.0,62.0
536.0,536.0
0.0,0.0
62.0,62.0
8.0,8.0
160.0,160.0
296.0,296.0
494.0,494.0
32.0,32.0
447.0,447.0
482.0,482.0
212.0,212.0
39.0,39.0
22.0,22.0
358.0,358.0
124.0,124.0
512.0,512.0
38.0,38.0
16.0,14.0
402.0,402.0
6.0,6.0
380.0,380.0
1278.0,1278.0
42.0,38.0
113.0,113.0
30.0,30.0
178.0,178.0
12.0,12.0
36.0,34.0
22.0,22.0
498.0,498.0
92.0,92.0
30.0,30.0
10.0,10.0
502.0,494.0
50.0,50.0
824.0,818.0
88.0,88.0
608.0,608.0
652.0,652.0
76.0,76.0
0.0,0.0
180.0,180.0
38.0,36.0
6.0,6.0
0.0,0.0
154.0,154.0
210.0,208.0
314.0,314.0
418.0,408.0
235.0,235.0
80.0,78.0
928.0,922.0
54.0,48.0
22.0,22.0
1072.0,1062.0
40.0,36.0
420.0,420.0
32.0,30.0
1359.0,1359.0
1046.0,1046.0
446.0,446.0
52.0,50.0
206.0,202.0
381.0,381.0
70.0,70.0
244.0,244.0
74.0,74.0
330.0,330.0
684.0,684.0
110.0,110.0
18.0,18.0
37.0,37.0
194.0,192.0
140.0,140.0
288.0,288.0
130.0,130.0
340.0,340.0
314.0,310.0
206.0,206.0
222.0,222.0
42.0,42.0
492.0,488.0
70.0,70.0
27.0,27.0
460.0,460.0
61.0,61.0
348.0,346.0
350.0,346.0
198.0,196.0
18.0,18.0
40.0,38.0
252.0,252.0
96.0,96.0
152.0,150.0
8.0,8.0
32.0,30.0
8.0,8.0
406.0,406.0
254.0,252.0
301.0,301.0
492.0,492.0
320.0,320.0
14.0,14.0
388.0,388.0
298.0,298.0
312.0,312.0
603.0,603.0
494.0,494.0
82.0,82.0
196.0,196.0
18.0,18.0
580.0,578.0
120.0,120.0
395.0,395.0
4.0,4.0
166.0,166.0
110.0,110.0
24.0,24.0
192.0,192.0
38.0,38.0
46.0,46.0
53.0,53.0
100.0,98.0
487.0,485.0
472.0,472.0
134.0,134.0
108.0,108.0
141.0,141.0
51.0,51.0
374.0,372.0
68.0,68.0
414.0,408.0
93.0,93.0
404.0,402.0
420.0,420.0
508.0,504.0
38.0,36.0
166.0,166.0
26.0,22.0
420.0,420.0
78.0,78.0
36.0,36.0
154.0,154.0
328.0,328.0
54.0,54.0
174.0,174.0
159.0,157.0
13.0,12.0
0.0,0.0
228.0,228.0
33.0,33.0
48.0,48.0
8.0,8.0
366.0,366.0
118.0,118.0
160.0,158.0
578.0,572.0
184.0,184.0
726.0,726.0
698.0,696.0
106.0,104.0
2.0,2.0
126.0,126.0
28.0,28.0
72.0,72.0
2.0,2.0
72.0,70.0
58.0,58.0
152.0,152.0
90.0,90.0
110.0,108.0
628.0,628.0
68.0,68.0
61.0,61.0
146.0,146.0
261.0,261.0
19.0,19.0
7.0,6.0
322.0,322.0
26.0,26.0
508.0,508.0
64.0,64.0
44.0,44.0
256.0,256.0
334.0,334.0
677.0,677.0
222.0,200.0
18.0,18.0
132.0,132.0
469.0,469.0
494.0,494.0
642.0,642.0
88.0,87.0
380.0,380.0
234.0,234.0
37.0,37.0
54.0,2.0
280.0,276.0
119.0,119.0
98.0,98.0
22.0,22.0
194.0,194.0
982.0,964.0
80.0,80.0
154.0,154.0
31.0,31.0
782.0,782.0
374.0,372.0
144.0,144.0
5.0,5.0
219.0,219.0
126.0,126.0
118.0,118.0
22.0,22.0
206.0,206.0
22.0,22.0
38.0,36.0
92.0,92.0
18.0,18.0
156.0,142.0
90.0,88.0
232.0,230.0
209.0,209.0
4.0,4.0
296.0,296.0
79.0,79.0
276.0,276.0
110.0,66.0
738.0,732.0
64.0,60.0
209.0,209.0
342.0,338.0
388.0,388.0
84.0,84.0
5.0,5.0
586.0,586.0
44.0,44.0
125.0,120.0
223.0,223.0
158.0,158.0
24.0,24.0
15.0,15.0
694.0,680.0
763.0,759.0
486.0,480.0
171.0,171.0
338.0,336.0
418.0,413.0
456.0,456.0
423.0,423.0
550.0,550.0
259.0,259.0
22.0,22.0
156.0,156.0
80.0,78.0
389.0,389.0
184.0,184.0
333.0,333.0
1049.0,1049.0
52.0,52.0
620.0,620.0
628.0,628.0
8.0,8.0
26.0,26.0
523.0,523.0
493.0,493.0
40.0,38.0
320.0,320.0
368.0,364.0
4.0,3.0
12.0,12.0
60.0,60.0
92.0,92.0
716.0,716.0
126.0,122.0
86.0,86.0
4.0,4.0
216.0,216.0
292.0,292.0
47.0,47.0
151.0,147.0
1027.0,1027.0
40.0,40.0
159.0,159.0
2.0,2.0
358.0,358.0
72.0,72.0
230.0,230.0
156.0,156.0
55.0,44.0
172.0,172.0
90.0,90.0
150.0,150.0
58.0,58.0
500.0,498.0
644.0,644.0
515.0,498.0
109.0,109.0
40.0,40.0
114.0,114.0
188.0,188.0
36.0,36.0
470.0,470.0
4.0,4.0
248.0,124.0
630.0,608.0
132.0,120.0
9.0,9.0
386.0,382.0
252.0,250.0
208.0,208.0
332.0,332.0
160.0,160.0
132.0,132.0
46.0,46.0
55.0,55.0
84.0,84.0
34.0,34.0
60.0,60.0
102.0,102.0
470.0,470.0
15.0,15.0
700.0,692.0
138.0,136.0
21.0,21.0
22.0,22.0
58.0,58.0
140.0,132.0
372.0,372.0
10.0,10.0
46.0,46.0
312.0,312.0
188.0,166.0
164.0,164.0
546.0,544.0
223.0,223.0
56.0,53.0
329.0,329.0
174.0,174.0
100.0,100.0
7.0,7.0
102.0,102.0
30.0,20.0
165.0,165.0
490.0,490.0
146.0,146.0
217.0,217.0
38.0,38.0
136.0,136.0
195.0,195.0
174.0,174.0
478.0,474.0
246.0,246.0
225.0,225.0
4.0,4.0
84.0,84.0
174.0,172.0
1678.0,1678.0
155.0,155.0
66.0,66.0
10.0,10.0
54.0,54.0
494.0,494.0
32.0,30.0
764.0,764.0
42.0,42.0
123.0,123.0
576.0,576.0
474.0,474.0
127.0,126.0
1120.0,1120.0
126.0,126.0
23.0,23.0
84.0,84.0
119.0,115.0
148.0,148.0
8.0,8.0
132.0,132.0
40.0,38.0
484.0,484.0
120.0,118.0
380.0,380.0
734.0,726.0
234.0,234.0
474.0,470.0
114.0,114.0
250.0,250.0
3.0,3.0
369.0,369.0
584.0,584.0
344.0,344.0
436.0,436.0
134.0,134.0
6.0,6.0
284.0,284.0
86.0,86.0
146.0,146.0
320.0,320.0
28.0,28.0
34.0,34.0
781.0,781.0
644.0,636.0
310.0,308.0
304.0,304.0
311.0,311.0
518.0,518.0
66.0,64.0
62.0,62.0
142.0,142.0
38.0,38.0
0.0,0.0
598.0,596.0
82.0,82.0
170.0,170.0
100.0,100.0
11.0,11.0
14.0,14.0
102.0,102.0
170.0,166.0
316.0,316.0
455.0,455.0
256.0,256.0
300.0,300.0
386.0,386.0
20.0,20.0
186.0,186.0
58.0,58.0
80.0,80.0
24.0,24.0
322.0,322.0
96.0,96.0
993.0,993.0
80.0,80.0
264.0,264.0
1004.0,1000.0
374.0,374.0
464.0,464.0
242.0,242.0
142.0,142.0
170.0,170.0
38.0,28.0
134.0,134.0
206.0,204.0
417.0,417.0
308.0,308.0
56.0,56.0
720.0,718.0
251.0,251.0
296.0,296.0
68.0,68.0
208.0,208.0
38.0,38.0
201.0,198.0
304.0,304.0
192.0,192.0
118.0,118.0
133.0,133.0
1.0,1.0
80.0,80.0
608.0,606.0
48.0,48.0
2.0,2.0
868.0,868.0
40.0,40.0
15.0,15.0
154.0,154.0
674.0,674.0
394.0,394.0
110.0,110.0
212.0,212.0
12.0,12.0
612.0,612.0
26.0,26.0
1.0,1.0
368.0,368.0
134.0,132.0
719.0,719.0
145.0,145.0
138.0,128.0
119.0,119.0
125.0,125.0
112.0,106.0
262.0,262.0
84.0,84.0
1050.0,1044.0
56.0,56.0
761.0,761.0
0.0,0.0
136.0,136.0
45.0,44.0
331.0,331.0
9.0,9.0
448.0,448.0
104.0,98.0
78.0,78.0
288.0,284.0
712.0,712.0
99.0,99.0
65.0,65.0
562.0,562.0
10.0,10.0
140.0,140.0
1038.0,1038.0
32.0,32.0
582.0,582.0
20.0,20.0
261.0,261.0
117.0,117.0
14.0,14.0
268.0,268.0
42.0,42.0
106.0,106.0
128.0,128.0
0.0,0.0
174.0,174.0
48.0,48.0
28.0,28.0
165.0,165.0
278.0,278.0
12.0,12.0
438.0,438.0
380.0,380.0
738.0,726.0
31.0,31.0
0.0,0.0
269.0,269.0
96.0,96.0
36.0,36.0
327.0,327.0
218.0,214.0
461.0,461.0
123.0,116.0
92.0,92.0
138.0,138.0
604.0,602.0
52.0,51.0
48.0,48.0
10.0,10.0
532.0,530.0
70.0,70.0
180.0,178.0
8.0,8.0
104.0,104.0
159.0,152.0
546.0,542.0
90.0,90.0
770.0,770.0
1158.0,1158.0
248.0,246.0
56.0,56.0
225.0,224.0
86.0,86.0
15.0,9.0
196.0,196.0
187.0,187.0
1212.0,1204.0
251.0,251.0
404.0,404.0
80.0,80.0
236.0,236.0
336.0,336.0
377.0,377.0
144.0,144.0
3.0,3.0
150.0,150.0
72.0,72.0
68.0,68.0
151.0,93.0
312.0,308.0
44.0,44.0
448.0,448.0
236.0,236.0
362.0,360.0
360.0,358.0
32.0,32.0
8.0,8.0
30.0,12.0
233.0,233.0
142.0,142.0
28.0,26.0
668.0,668.0
11.0,10.0
432.0,432.0
26.0,26.0
58.0,58.0
3.0,3.0
4.0,4.0
1086.0,1062.0
149.0,149.0
14.0,14.0
24.0,24.0
14.0,14.0
280.0,280.0
313.0,313.0
169.0,169.0
0.0,0.0
170.0,168.0
18.0,18.0
336.0,334.0
139.0,138.0
104.0,100.0
575.0,575.0
223.0,223.0
493.0,493.0
126.0,126.0
157.0,157.0
148.0,148.0
1343.0,1343.0
349.0,349.0
127.0,127.0
329.0,327.0
227.0,227.0
402.0,398.0
788.0,772.0
368.0,368.0
336.0,336.0
566.0,566.0
674.0,666.0
110.0,110.0
237.0,237.0
223.0,223.0
30.0,22.0
12.0,6.0
213.0,213.0
156.0,156.0
276.0,276.0
448.0,448.0
326.0,326.0
186.0,186.0
28.0,28.0
258.0,258.0
60.0,60.0
762.0,762.0
70.0,70.0
248.0,248.0
116.0,112.0
40.0,40.0
755.0,755.0
6.0,6.0
750.0,750.0
1.0,1.0
434.0,434.0
448.0,448.0
112.0,92.0
140.0,140.0
86.0,84.0
226.0,226.0
254.0,254.0
180.0,180.0
0.0,0.0
302.0,302.0
4.0,4.0
30.0,30.0
358.0,358.0
10.0,10.0
135.0,135.0
141.0,130.0
1.0,1.0
42.0,42.0
190.0,190.0
183.0,183.0
26.0,26.0
200.0,200.0
276.0,276.0
953.0,953.0
191.0,191.0
362.0,362.0
56.0,54.0
142.0,142.0
324.0,324.0
122.0,122.0
402.0,402.0
118.0,118.0
194.0,194.0
100.0,100.0
334.0,334.0
6.0,6.0
148.0,148.0
116.0,116.0
10.0,10.0
112.0,110.0
1387.0,1382.0
26.0,22.0
30.0,30.0
544.0,536.0
2.0,2.0
56.0,54.0
524.0,524.0
57.0,57.0
434.0,434.0
134.0,134.0
481.0,481.0
8.0,8.0
90.0,90.0
1026.0,1014.0
482.0,482.0
94.0,92.0
98.0,98.0
38.0,34.0
116.0,116.0
211.0,209.0
42.0,42.0
923.0,923.0
24.0,24.0
397.0,396.0
866.0,864.0
60.0,60.0
184.0,182.0
6.0,6.0
29.0,29.0
98.0,96.0
54.0,54.0
1561.0,1561.0
318.0,318.0
300.0,300.0
31.0,31.0
354.0,354.0
142.0,142.0
20.0,20.0
420.0,420.0
216.0,216.0
334.0,334.0
90.0,90.0
366.0,358.0
4.0,4.0
70.0,70.0
354.0,352.0
104.0,100.0
747.0,747.0
707.0,707.0
111.0,111.0
384.0,384.0
538.0,532.0
77.0,77.0
42.0,42.0
132.0,132.0
136.0,136.0
368.0,362.0
38.0,38.0
102.0,102.0
138.0,138.0
102.0,102.0
226.0,226.0
126.0,126.0
0.0,0.0
1037.0,1037.0
90.0,90.0
160.0,160.0
18.0,18.0
28.0,28.0
498.0,495.0
257.0,257.0
62.0,61.0
0.0,0.0
102.0,102.0
1024.0,1024.0
112.0,112.0
270.0,270.0
54.0,54.0
60.0,60.0
307.0,307.0
955.0,944.0
458.0,456.0
132.0,132.0
40.0,40.0
47.0,47.0
40.0,40.0
4.0,4.0
161.0,161.0
542.0,540.0
80.0,80.0
868.0,852.0
32.0,32.0
116.0,114.0
33.0,32.0
470.0,470.0
20.0,20.0
559.0,559.0
170.0,170.0
204.0,204.0
130.0,130.0
60.0,56.0
50.0,50.0
112.0,112.0
300.0,300.0
83.0,82.0
51.0,51.0
144.0,142.0
9.0,9.0
56.0,56.0
501.0,501.0
243.0,243.0
40.0,40.0
310.0,310.0
70.0,70.0
214.0,178.0
962.0,962.0
705.0,705.0
14.0,14.0
195.0,194.0
46.0,44.0
16.0,16.0
112.0,112.0
478.0,478.0
540.0,538.0
83.0,83.0
160.0,160.0
124.0,122.0
76.0,74.0
38.0,38.0
138.0,138.0
518.0,518.0
814.0,812.0
592.0,586.0
78.0,78.0
152.0,152.0
394.0,392.0
266.0,266.0
588.0,584.0
18.0,18.0
393.0,389.0
532.0,530.0
104.0,88.0
28.0,28.0
118.0,116.0
114.0,114.0
340.0,340.0
10.0,10.0
404.0,403.0
112.0,110.0
38.0,38.0
316.0,316.0
64.0,64.0
506.0,506.0
1.0,1.0
339.0,336.0
514.0,510.0
1592.0,1354.0
